Name,Sorting Name,Age Rating,Categories,Description,Developers,Publishers,Favorite,Hidden,Features,Game Id,Genres,Install size,Release Date,Added,Last Played,Date Modified,Recent Activity,Platforms,Play Count,Time Played,Sources,Series,Tags,Community Score,Critic Score,User Score,Id
Black Desert,,PEGI 16,,"<h2 class=""bb_tag"">Go Beyond Limits : WORLD CLASS MMORPG</h2><p class=""bb_paragraph""></p><p class=""bb_paragraph""><i>Black Desert is a game that tests the limitations of MMORPG</i></p><p class=""bb_paragraph""><i>by implementing remastered graphics and audio. Enjoy exciting combat and siege,</i></p><p class=""bb_paragraph""><i>exploration, trading, fishing, training, alchemy, cooking, gathering, hunting, and more in the vast open world.</i></p><p class=""bb_paragraph""><i>Black Desert - A true MMORPG</i></p><p class=""bb_paragraph""></p><h2 class=""bb_tag"">The Start of Your Dream Adventure</h2><p class=""bb_paragraph""></p><p class=""bb_paragraph""><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/582660/extras/Open_World.gif?t=1749061800"" /><strong>OPEN WORLD</strong></p><p class=""bb_paragraph"">An expansive, breathtaking open world MMORPG made with Pearl Abyss' proprietary game engine.</p><p class=""bb_paragraph""></p><p class=""bb_paragraph""><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/582660/extras/Customization.gif?t=1749061800"" /><strong>CUSTOMIZING</strong></p><p class=""bb_paragraph""><i>Become Your True Self</i></p><p class=""bb_paragraph"">Experience insane levels of customization.</p><p class=""bb_paragraph"">From height, torso, face, and skin texture, to micro-level details, your imagination is the limit!</p><p class=""bb_paragraph"">Create your own unique characters, just like you've always desired, in Black Desert.</p><p class=""bb_paragraph""></p><p class=""bb_paragraph""><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/582660/extras/Combat.gif?t=1749061800"" /><strong>COMBAT</strong></p><p class=""bb_paragraph""><i>Non-Target &amp; Fast-Paced Combat</i></p><p class=""bb_paragraph"">Experience an innovative combat system unlike any other MMORPG.</p><p class=""bb_paragraph"">The need for quick reactions and precise control will keep you enthralled throughout your entire experience.</p><p class=""bb_paragraph"">Exciting commands/combos will always keep you on your toes.</p><p class=""bb_paragraph""></p><p class=""bb_paragraph""><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/582660/extras/Node___Siege.gif?t=1749061800"" /><strong>NODE &amp; SIEGE WAR</strong></p><p class=""bb_paragraph""><i>Large-Scale PvP Wars</i></p><p class=""bb_paragraph"">Guilds, prepare for battle! Victory is near!</p><p class=""bb_paragraph"">Join formidable guilds as they fight head-to-head on the battlefield.</p><p class=""bb_paragraph"">Be victorious, become lords, and seize control of taxes, resources, and more!</p><p class=""bb_paragraph""></p><p class=""bb_paragraph""><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/582660/extras/Graphics.gif?t=1749061800"" /><strong>GRAPHICS</strong></p><p class=""bb_paragraph""><i>Remastered Cutting-Edge Graphics</i></p><p class=""bb_paragraph"">Enter a world with spectacular sceneries, realistic environments, and sophisticated details created with state-of-the-art graphics and prepare for unforgettable adventures.</p><p class=""bb_paragraph""></p><p class=""bb_paragraph""><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/582660/extras/Lifeskill.gif?t=1749061800"" /><strong>LIFE SKILLS</strong></p><p class=""bb_paragraph""><i>Multitudes of In-Game Activities</i></p><p class=""bb_paragraph"">Combat not your style?</p><p class=""bb_paragraph"">Relax and enjoy a variety of pleasant life skill activities!</p><p class=""bb_paragraph"">With a variety of choices including farming, trading, fishing, sailing, cooking, horse training, alchemy, and more, the professions are endless. Try your hand at any or all of them!</p>",Pearl Abyss,Pearl Abyss,TRUE,FALSE,"Co-Operative, Massively Multiplayer Online (MMO), Multiplayer",582660,"Adventure, Hack and slash/Beat 'em up, Role-playing (RPG)",89392279552,17/12/2014,17/06/2025 23:53,10/06/2025 01:31,17/06/2025 23:58,17/06/2025 23:53,PC (Windows),0,8635500,Steam,,,68,75,4,14ea01b9-748e-488e-8ae9-f40fbbab4647
Fortnite,,PEGI 12,,"Fortnite is the completely free online game where you and your friends fight to be the last one standing in Battle Royale, join forces to make your own Creative games, or catch a live show at Party Royale.",Epic Games,Epic Games,TRUE,FALSE,"Battle Royale, Co-Operative, Multiplayer, Single Player, Split Screen",Fortnite,"Adventure, Role-playing (RPG), Shooter, Simulator, Strategy",1.18158E+11,29/06/2020,17/06/2025 23:53,,17/06/2025 23:57,17/06/2025 23:53,PC (Windows),0,3767248,Epic,,,71,83,4,89ed85f5-f162-4727-91ba-54f672985cbb
Rocket League,,PEGI 3,,"Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition. Rocket League includes casual and competitive Online Matches, a fully-featured offline Season Mode, special “Mutators” that let you change the rules entirely, hockey and basketball-inspired Extra Modes, and more than 500 trillion possible cosmetic customization combinations.",Psyonix,Psyonix,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player, Split Screen",Sugar,"Indie, Racing, Sport",35554779136,06/07/2015,17/06/2025 23:53,,17/06/2025 23:56,17/06/2025 23:53,PC (Windows),0,3310528,Epic,Supersonic Acrobatic Rocket-Powered Battle-Cars,,82,89,3,06119bc0-dddd-4f5a-8de3-35bf90322b0a
Counter-Strike 2,Counter-Strike 02,PEGI 18,,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.<br><br>A free upgrade to CS:GO, Counter-Strike 2 marks the largest technical leap in Counter-Strike’s history. Built on the Source 2 engine, Counter-Strike 2 is modernized with realistic physically-based rendering, state of the art networking, and upgraded Community Workshop tools.<br><br>In addition to the classic objective-focused gameplay that Counter-Strike pioneered in 1999, Counter-Strike 2 features:<br><br><ul class=""bb_ul""><li>All-new CS Ratings with the updated Premier mode<br></li><li>Global and Regional leaderboards<br></li><li>Upgraded and overhauled maps<br></li><li>Game-changing dynamic smoke grenades<br></li><li>Tick-rate-independent gameplay<br></li><li>Redesigned visual effects and audio<br></li><li>All items from CS:GO moving forward to CS2</li></ul>","Hidden Path Entertainment, Valve",Valve,FALSE,FALSE,Multiplayer,730,"Shooter, Tactical",60301795328,21/08/2012,17/06/2025 23:53,10/03/2020 23:03,17/06/2025 23:58,17/06/2025 23:53,PC (Windows),0,1974180,Steam,Counter-Strike,,82,81,3,eacfc326-f129-422f-8f76-2a2be7d50ae4
Call of Duty: Advanced Warfare,,PEGI 18,,"Call of Duty: Advanced Warfare envisions the powerful battlegrounds of the future, where both technology and tactic have evolved to usher in a new era of combat for the franchise. Delivering a stunning performance, Academy Award winning actor Kevin Spacey stars as Jonathan Irons – one of the most powerful men in the world – shaping this chilling vision of the future of war.",Sledgehammer Games,"Activision, Square Enix",FALSE,FALSE,"Co-Operative, Multiplayer, Single Player, Split Screen",CUSA00851_00,Shooter,,03/11/2014,18/06/2025 00:07,31/10/2015 16:40,18/06/2025 00:08,18/06/2025 00:07,Sony PlayStation 4,698,1741669,PlayStation,Call of Duty,,72,80,3,78c97c7e-dfc2-4626-b2e4-593363e43e04
Call of Duty,,PEGI 18,,"<p class=""bb_paragraph"">The Call of Duty® experience supports Call of Duty®: Black Ops 6, Call of Duty®: Modern Warfare® III, Call of Duty®: Modern Warfare® II and Call of Duty®: Warzone™.</p><p class=""bb_paragraph"">Call of Duty®: Black Ops 6 is signature Black Ops across a cinematic single-player Campaign, a best-in-class Multiplayer experience and with the epic return of Round-Based Zombies.</p><p class=""bb_paragraph"">Call of Duty®: Modern Warfare® III is the direct sequel to the record-breaking Call of Duty®: Modern Warfare® II. Captain Price and Task Force 141 face off against the ultimate threat. The ultranationalist war criminal Vladimir Makarov is extending his grasp across the world causing Task Force 141 to fight like never before.</p><p class=""bb_paragraph"">Call of Duty®: Modern Warfare® II drops players into an unprecedented global conflict that features the return of the iconic Operators of Task Force 141.</p><p class=""bb_paragraph"">Call of Duty®: Warzone™ is the massive free-to-play combat arena, featuring Battle Royale and Resurgence.</p><p class=""bb_paragraph"">Call of Duty® Points (CP) are the in-game currency that can be used in Black Ops 6, Call of Duty®: Modern Warfare® III, Modern Warfare® II, and Warzone™ to obtain new content. Call of Duty®: Black Ops 6, Call of Duty®: Modern Warfare® III, Call of Duty®: Modern Warfare® II or Call of Duty®: Warzone™ game required, sold / downloaded separately.</p><p class=""bb_paragraph"">CP purchased may also be used to obtain in-game content in certain Call of Duty® games with CP functionality enabled*. Each game sold separately.</p>",Infinity Ward,Activision,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player, Split Screen",1938090,Shooter,2.54051E+11,28/10/2022,17/06/2025 23:53,02/06/2025 20:23,17/06/2025 23:55,17/06/2025 23:53,PC (Windows),0,859140,Steam,"Call of Duty, Call of Duty: Modern Warfare",,73,80,3,fe951419-bea0-44e0-a38b-3cab785dfd26
Call of Duty: Black Ops III,Call of Duty: Black Ops 03,PEGI 18,,"Call of Duty: Black Ops 3 deploys players into a dark, twisted future where a new breed of Black Ops soldier emerges and the lines are blurred between our own humanity and the technology we created to stay ahead, in a world where cutting-edge military robotics define warfare. With three unique game modes: Campaign, Multiplayer and Zombies, providing fans with the deepest and most ambitious Call of Duty ever.",Treyarch,Activision,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player, Split Screen",CUSA02624_00,"Adventure, Shooter",,06/11/2015,18/06/2025 00:07,06/04/2020 23:44,18/06/2025 00:07,18/06/2025 00:07,Sony PlayStation 4,175,773563,PlayStation,"Call of Duty, Call of Duty: Black Ops",,67,77,3,38758b0a-91ec-47a8-90c9-45812844e14b
Grand Theft Auto V,Grand Theft Auto 05,,,"A new generation of Grand Theft Auto V featuring a range of technical improvements, visual upgrades and performance enhancements to take full advantage of the latest hardware, making the game more beautiful and more responsive than ever.",Rockstar Games,"Rockstar Games, Take-Two Interactive",FALSE,FALSE,"Co-Operative, Multiplayer, Single Player",CUSA00411_00,"Adventure, Racing, Shooter",,12/04/2022,18/06/2025 00:07,20/03/2020 20:50,18/06/2025 00:07,18/06/2025 00:07,Sony PlayStation 4,166,749222,PlayStation,,,,,4,743cfb83-2eae-48db-afb8-8dc1ed5a8527
Palworld,,PEGI 12,,"Q. What kind of game is this?<br><br>A. In this game, you can peacefully live alongside mysterious creatures known as Pals or risk your life to drive off a ruthless poaching syndicate.<br><br>Pals can be used to fight, or they can be made to work on farms or factories.<br>You can even sell them or eat them!<br><br><br><strong><u>Survival</u></strong><br>In a harsh environment where food is scarce and vicious poachers roam, danger waits around every corner. To survive, you must tread carefully and make difficult choices...even if that means eating your own Pals when the time comes.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/extras/gif01_survival.gif?t=1749619398"" /><br><br><strong><u>Mounts &amp; Exploration</u></strong><br>Pals can be mounted to traverse the land, sea and sky—allowing you to traverse all kinds of environment as you explore the world.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/extras/gif02_riding.gif?t=1749619398"" /><br><br><strong><u>Building Structures</u></strong><br>Want to build a pyramid? Put an army of Pals on the job. Don't worry; there are no labor laws for Pals.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/extras/gif03_building.gif?t=1749619398"" /><br><br><strong><u>Production</u></strong><br>Make use of Pals and their skills to make fire, generate electricity, or mine ore so that you can live a life of comfort.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/extras/gif04_life.gif?t=1749619398"" /><br><br><strong><u>Farming</u></strong><br>Some Pals are good at planting seeds, while others are skilled at watering or harvesting crops. Work together with your Pals to create an idyllic farmstead.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/extras/gif05_farming.gif?t=1749619398"" /><br><br><strong><u>Factories &amp; Automation</u></strong><br>Letting Pals do the work is the key to automation. Build a factory, place a Pal in it, and they'll keep working as long as they're fed—until they're dead, that is.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/extras/gif06_factory.gif?t=1749619398"" /><br><br><strong><u>Dungeon Exploration</u></strong><br>With Pals on your side you can tackle even the most dangerous areas. When the time comes, you might have to sacrifice one to save your skin. They'll protect your life—even if it costs their own.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/extras/gif07_dungeon.gif?t=1749619398"" /><br><br><strong><u>Breeding &amp; Genetics</u></strong><br>Breed a Pal and it will inherit the characteristics of its parents. Combine rare pals to create the strongest Pal of them all!<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/extras/gif08_breeding.gif?t=1749619398"" /><br><br><strong><u>Poaching &amp; Crime</u></strong><br>Endangered Pals live in wildlife sanctuaries. Sneak in and capture rare Pals to get rich quick! It's not a crime if you don't get caught, after all.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/extras/gif09_poaching.gif?t=1749619398"" /><br><br><strong><u>Multiplayer</u></strong><br>Multiplayer is supported, so invite a friend and go on an adventure together! And of course you can battle your friends and trade Pals, too.<br><br>In online co-op play mode, up to 4 players can play together.<br>Additionally, a dedicated server can allow up to 32 players to play together.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/extras/gif10_multiplay.gif?t=1749619398"" />",PocketPair,PocketPair,FALSE,FALSE,"Co-Operative, Massively Multiplayer Online (MMO), Multiplayer, Single Player",1623730,"Adventure, Hack and slash/Beat 'em up, Indie, Role-playing (RPG), Shooter",28108148736,19/01/2024,17/06/2025 23:53,07/02/2025 21:09,17/06/2025 23:55,17/06/2025 23:53,PC (Windows),0,717840,Steam,,,72,,3,8aabbf20-3406-48c5-84ea-1c33aa90ff12
Call of Duty: WWII - Multiplayer,,PEGI 18,,"<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/476600/extras/CODWW2-PC_Game-Art_SA-628x195-1100CP_Incentives.png?t=1748041216"" /><br><br>Includes Digital Edition Bonus Content: 1,100 Call of Duty Points**<br><br>Call of Duty® returns to its roots with <strong>Call of Duty®: WWII</strong> - a breathtaking experience that redefines World War II for a new gaming generation. Land in Normandy on D-Day and battle across Europe through iconic locations in history’s most monumental war. Experience classic Call of Duty combat, the bonds of camaraderie, and the unforgiving nature of war against a global power throwing the world into tyranny.<br><br><strong>Call of Duty®: WWII</strong> creates the definitive World War II next generation experience across three different game modes: Campaign, Multiplayer, and Co-Operative. Featuring stunning visuals, the Campaign transports players to the European theater as they engage in an all-new Call of Duty® story set in iconic World War II battles. Multiplayer marks a return to original, boots-on-the ground Call of Duty gameplay. Authentic weapons and traditional run-and-gun action immerse you in a vast array of World War II-themed locations. The Co-Operative mode unleashes a new and original story in a standalone game experience full of unexpected, adrenaline-pumping moments.",Sledgehammer Games,Activision,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player, Split Screen",476620,Shooter,,02/11/2017,17/06/2025 23:53,03/08/2018 20:07,17/06/2025 23:55,17/06/2025 23:53,,0,713400,Steam,Call of Duty,,74,75,3,767219ae-dec8-49d1-97e1-685c99fd4705
